id,config,question,answer_reference,answer_text,is_abstained,answer_correctness_manual,grader_note
test_11,page_aware,"Đến cuối năm 2014, Vinamilk có bao nhiêu công ty con và công ty liên kết?","Đến cuối năm 2014, Vinamilk có 6 công ty con và 2 công ty liên kết.","Đến cuối năm 2014, Vinamilk có 6 công ty con và 2 công ty liên kết.",False,full,"similarity=1.00, fact_overlap=1.00 (cao)"
test_12,page_aware,"Tại Việt Nam, hệ thống sản xuất của Vinamilk năm 2014 đang duy trì với bao nhiêu nhà máy và bao nhiêu trang trại?","Tại Việt Nam, Vinamilk đang duy trì hệ thống sản xuất với 13 nhà máy và 5 trang trại.","Tại Việt Nam, hệ thống sản xuất của Vinamilk năm 2014 đang duy trì với 13 nhà máy và 5 trang trại.",False,full,"similarity=0.69, fact_overlap=1.00 (cao)"
test_13,page_aware,"Theo báo cáo, tổng sản lượng sản xuất năm 2014 của Vinamilk là bao nhiêu tấn, và cường độ sử dụng điện bình quân trên mỗi tấn sản phẩm năm 2014 là bao nhiêu?","Tổng sản lượng năm 2014 là 843.557 tấn; cường độ sử dụng điện bình quân là 140,44 kwh/tấn sản phẩm.","Theo báo cáo, tổng sản lượng sản xuất năm 2014 của Vinamilk là 843.557 tấn, và cường độ sử dụng điện bình quân trong hoạt động sản xuất trên mỗi tấn sản phẩm năm 2014 là 140,44 kwh/tấn sản phẩm.",False,full,"similarity=0.67, fact_overlap=1.00 (cao)"
test_14,page_aware,"Số lao động bình quân của Vinamilk và các công ty con năm 2014 là bao nhiêu người, và tỷ lệ nhân viên được ký hợp đồng lao động là bao nhiêu phần trăm?","Số lao động bình quân năm 2014 là 5.738 người (tổng số lao động của Vinamilk năm 2014 là trên 5.500 người); tỷ lệ nhân viên được ký hợp đồng lao động đạt 100% trong cả 3 năm 2012, 2013, 2014.","Số lao động bình quân của Vinamilk và các công ty con năm 2014 là 5.738 người, và tỷ lệ nhân viên được ký hợp đồng lao động là 100%.",False,full,"similarity=0.60, fact_overlap=0.50 (cao)"
test_15,page_aware,"Doanh thu thuần của Vinamilk tính riêng theo từng quý (quý 1, 2, 3, 4) trong năm 2014 là bao nhiêu tỷ đồng mỗi quý?",KHÔNG CÓ THÔNG TIN TRONG TÀI LIỆU,Không tìm thấy thông tin trong tài liệu.,True,abstain,hệ thống từ chối
test_16,page_aware,Giá đóng cửa của cổ phiếu VNM (Vinamilk) trên sàn HOSE vào ngày 31/12/2014 là bao nhiêu đồng/cổ phiếu?,KHÔNG CÓ THÔNG TIN TRONG TÀI LIỆU,Không tìm thấy thông tin trong tài liệu.,True,abstain,hệ thống từ chối
test_17,page_aware,Vinamilk có kế hoạch xây dựng nhà máy chế biến sữa mới tại thị trường Mỹ vào năm nào?,KHÔNG CÓ THÔNG TIN TRONG TÀI LIỆU,Không tìm thấy thông tin trong tài liệu.,True,abstain,hệ thống từ chối
test_18,page_aware,"Đội Việt Nam Tuyên truyền Giải phóng quân được thành lập vào ngày nào, do ai chỉ huy, và có bao nhiêu người khi mới thành lập?","Đội Việt Nam Tuyên truyền Giải phóng quân được thành lập ngày 22/12/1944 tại Cao Bằng, do đồng chí Võ Nguyên Giáp chỉ huy; lúc thành lập đội chỉ có 34 người.",Không tìm thấy thông tin liên quan trong tài liệu.,True,abstain,hệ thống từ chối
test_19,page_aware,Thắng lợi của Cách mạng Tháng Tám năm 1945 đã lật đổ ách thống trị của thực dân Pháp kéo dài bao nhiêu năm và ách thống trị của phát xít Nhật kéo dài bao nhiêu năm?,Thắng lợi của Cách mạng Tháng Tám đã lật đổ ách thống trị trong 87 năm của thực dân Pháp và lật đổ ách thống trị của phát xít Nhật tồn tại trong 5 năm.,Thắng lợi của Cách mạng Tháng Tám năm 1945 đã lật đổ ách thống trị của thực dân Pháp trong 87 năm và ách thống trị của phát xít Nhật tồn tại trong 5 năm.,False,full,"similarity=0.86, fact_overlap=1.00 (cao)"
test_20,page_aware,Hội nghị Trung ương 6 của Đảng (tháng 11/1939) đã chủ trương thành lập mặt trận nào và đặt vấn đề gì lên hàng đầu?,"Hội nghị chủ trương thành lập Mặt trận dân tộc thống nhất phản đế Đông Dương, và đặt vấn đề dân tộc giải phóng, lấy quyền lợi dân tộc làm tối cao, lên hàng đầu thay vì đặt nặng vấn đề cách mạng ruộng đất.","Hội nghị Trung ương 6 của Đảng (tháng 11/1939) đã chủ trương thành lập Mặt trận dân tộc thống nhất phản đế Đông Dương. Về vấn đề đặt lên hàng đầu, hội nghị nhấn mạnh đứng trên lập trường giải phóng dân tộc, lấy quyền lợi dân tộc làm tối cao, mọi vấn đề của cuộc cách mạng (kể cả vấn đề điền địa) cũng phải nhằm vào mục đích ấy mà giải quyết.",False,full,"similarity=0.47, fact_overlap=1.00 (cao)"
test_21,page_aware,"Hội nghị Giơnevơ về Đông Dương đã thông qua Bản Tuyên bố cuối cùng vào ngày nào, và văn kiện này có ý nghĩa pháp lý gì đối với Việt Nam?","Ngày 21-7-1954, Hội nghị đã thông qua Bản Tuyên bố cuối cùng về vấn đề lập lại hòa bình ở Đông Dương. Đây là văn bản pháp lý quốc tế đầu tiên công nhận các quyền dân tộc cơ bản của nhân dân Việt Nam, Lào và Campuchia là độc lập, chủ quyền, thống nhất và toàn vẹn lãnh thổ, đánh dấu kết thúc thắng lợi cuộc kháng chiến chống thực dân Pháp xâm lược.","Ngày 21-7-1954, Hội nghị Giơnevơ đã thông qua Bản Tuyên bố cuối cùng về vấn đề lập lại hòa bình ở Đông Dương. Về ý nghĩa pháp lý, đây là văn bản pháp lý quốc tế đầu tiên công nhận các quyền dân tộc cơ bản của nhân dân Việt Nam, Lào và Campuchia (là độc lập, chủ quyền, thống nhất và toàn vẹn lãnh thổ), đồng thời đánh dấu kết thúc thắng lợi cuộc kháng chiến chống thực dân Pháp xâm lược.",False,full,"similarity=0.94, fact_overlap=1.00 (cao)"
test_22,page_aware,"Đến tháng 7-1956, cải cách ruộng đất ở miền Bắc căn bản hoàn thành với kết quả cụ thể như thế nào về số người, số hộ nông dân và diện tích ruộng đất được chia?",Hơn 9 triệu người trong hơn 2 triệu hộ nông dân lao động được chia hơn 810.000 ha ruộng đất.,"Đến tháng 7-1956, cải cách ruộng đất ở miền Bắc đã căn bản hoàn thành ở đồng bằng, trung du và miền núi, với kết quả là hơn 9 triệu người trong hơn 2 triệu hộ nông dân lao động được chia hơn 810.000 ha ruộng đất.",False,full,"similarity=0.61, fact_overlap=1.00 (cao)"
test_23,page_aware,"Qua hai lần chống chiến tranh phá hoại của đế quốc Mỹ, quân dân miền Bắc đã bắn rơi bao nhiêu máy bay và bắn cháy bao nhiêu tàu chiến?","Quân dân miền Bắc đã bắn rơi 4.181 máy bay (trong đó có nhiều B.52), bắn cháy 271 tàu chiến, bắt hàng trăm giặc lái Mỹ.","Qua hai lần chống chiến tranh phá hoại của đế quốc Mỹ, quân dân miền Bắc đã bắn rơi 4.181 máy bay (trong đó có nhiều B.52) và bắn cháy 271 tàu chiến.",False,full,"similarity=0.68, fact_overlap=1.00 (cao)"
test_24,page_aware,Đại hội đại biểu toàn quốc lần thứ VI của Đảng (năm 1986) đề ra đường lối Đổi mới với những nội dung cụ thể nào?,KHÔNG CÓ THÔNG TIN TRONG TÀI LIỆU,Không tìm thấy thông tin trong tài liệu.,True,abstain,hệ thống từ chối
test_25,page_aware,Số lượng giặc lái Mỹ cụ thể bị quân dân miền Bắc bắt sống trong hai lần chống chiến tranh phá hoại là bao nhiêu người?,KHÔNG CÓ THÔNG TIN TRONG TÀI LIỆU,"Dựa vào tài liệu, trong 12 ngày đêm cuối năm 1972 đánh trả cuộc tập kích chiến lược bằng máy bay B.52 của Mỹ vào Hà Nội và Hải Phòng (trong cuộc chiến tranh phá hoại lần thứ hai), quân và dân miền Bắc đã bắt sống 43 giặc lái [1]. Tài liệu không cung cấp con số cụ thể về tổng số giặc lái bị bắt sống trong toàn bộ các lần chống chiến tranh phá hoại, mà chỉ nêu con số cho đợt cụ thể này.",False,partial,"similarity=0.03, fact_overlap=1.00 (cao)"
test_26,page_aware,"Theo Điều 44 của Hiến pháp, công dân có nghĩa vụ gì với Tổ quốc và tội nào được xác định là tội nặng nhất?",Công dân có nghĩa vụ trung thành với Tổ quốc. Phản bội Tổ quốc là tội nặng nhất.,"Theo Điều 44 của Hiến pháp, công dân có nghĩa vụ trung thành với Tổ quốc. Phản bội Tổ quốc là tội nặng nhất.",False,full,"similarity=0.85, fact_overlap=1.00 (cao)"
test_27,page_aware,"Tài sản hợp pháp của cá nhân, tổ chức đầu tư, sản xuất, kinh doanh được pháp luật bảo hộ ra sao theo khoản 3 Điều 51 của Hiến pháp?","Tài sản hợp pháp của cá nhân, tổ chức đầu tư, sản xuất, kinh doanh được pháp luật bảo hộ và không bị quốc hữu hóa.","Tài sản hợp pháp của cá nhân, tổ chức đầu tư, sản xuất, kinh doanh được pháp luật bảo hộ và không bị quốc hữu hóa.",False,full,"similarity=1.00, fact_overlap=1.00 (cao)"
test_28,page_aware,"Sau khi được Quốc hội bầu, những chức danh lãnh đạo cấp cao nào phải tuyên thệ trung thành với Tổ quốc, Nhân dân và Hiến pháp?","Sau khi được bầu, Chủ tịch nước, Chủ tịch Quốc hội, Thủ tướng Chính phủ, Chánh án Tòa án nhân dân tối cao phải tuyên thệ trung thành với Tổ quốc, Nhân dân và Hiến pháp;","Sau khi được Quốc hội bầu, những chức danh lãnh đạo cấp cao phải tuyên thệ trung thành với Tổ quốc, Nhân dân và Hiến pháp bao gồm: Chủ tịch nước, Chủ tịch Quốc hội, Thủ tướng Chính phủ, và Chánh án Tòa án nhân dân tối cao.",False,full,"similarity=0.39, fact_overlap=1.00 (cao)"
test_29,page_aware,"Theo Hiến pháp, việc bắt, giam, giữ, khởi tố đại biểu Quốc hội phải tuân thủ điều kiện gì?","Không được bắt, giam, giữ, khởi tố đại biểu Quốc hội nếu không có sự đồng ý của Quốc hội hoặc trong thời gian Quốc hội không họp, không có sự đồng ý của Ủy ban thường vụ Quốc hội; trong trường hợp đại biểu Quốc hội phạm tội quả tang mà bị tạm giữ thì cơ quan tạm giữ phải lập tức báo cáo để Quốc hội hoặc Ủy ban thường vụ Quốc hội xem xét, quyết định.","Theo Hiến pháp, không được bắt, giam, giữ, khởi tố đại biểu Quốc hội nếu không có sự đồng ý của Quốc hội hoặc trong thời gian Quốc hội không họp, không có sự đồng ý của Ủy ban thường vụ Quốc hội. Trong trường hợp đại biểu Quốc hội phạm tội quả tang mà bị tạm giữ thì cơ quan tạm giữ phải lập tức báo cáo để Quốc hội hoặc Ủy ban thường vụ Quốc hội xem xét, quyết định.",False,full,"similarity=0.97, fact_overlap=1.00 (cao)"
test_30,page_aware,"Thủ tướng Chính phủ có thẩm quyền gì đối với các văn bản của cơ quan cấp dưới trái với Hiến pháp, luật và văn bản của cấp trên?","Đình chỉ việc thi hành hoặc bãi bỏ văn bản của Bộ trưởng, Thủ trưởng cơ quan ngang bộ, Ủy ban nhân dân, Chủ tịch Ủy ban nhân dân tỉnh, thành phố trực thuộc trung ương trái với Hiến pháp, luật và văn bản của cơ quan nhà nước cấp trên; đình chỉ việc thi hành nghị quyết của Hội đồng nhân dân tỉnh, thành phố trực thuộc trung ương trái với Hiến pháp, luật và văn bản của cơ quan nhà nước cấp trên, đồng thời đề nghị Ủy ban thường vụ Quốc hội bãi bỏ;","Thủ tướng Chính phủ có thẩm quyền:
- Đình chỉ việc thi hành hoặc bãi bỏ văn bản của Bộ trưởng, Thủ trưởng cơ quan ngang bộ, Ủy ban nhân dân, Chủ tịch Ủy ban nhân dân tỉnh, thành phố trực thuộc trung ương trái với Hiến pháp, luật và văn bản của cơ quan nhà nước cấp trên.
- Đình chỉ việc thi hành nghị quyết của Hội đồng nhân dân tỉnh, thành phố trực thuộc trung ương trái với Hiến pháp, luật và văn bản của cơ quan nhà nước cấp trên, đồng thời đề nghị Ủy ban thường vụ Quốc hội bãi bỏ.",False,full,"similarity=0.96, fact_overlap=1.00 (cao)"
test_31,page_aware,Hiến pháp xác định nhiệm vụ trọng tâm của Tòa án nhân dân là gì?,"Tòa án nhân dân có nhiệm vụ bảo vệ công lý, bảo vệ quyền con người, quyền công dân, bảo vệ chế độ xã hội chủ nghĩa, bảo vệ lợi ích của Nhà nước, quyền và lợi ích hợp pháp của tổ chức, cá nhân.","Theo Hiến pháp, Tòa án nhân dân có nhiệm vụ bảo vệ công lý, bảo vệ quyền con người, quyền công dân, bảo vệ chế độ xã hội chủ nghĩa, bảo vệ lợi ích của Nhà nước, quyền và lợi ích hợp pháp của tổ chức, cá nhân.",False,full,"similarity=0.96, fact_overlap=1.00 (cao)"
test_32,page_aware,Khảo sát 'Nơi làm việc tốt nhất Việt Nam' năm 2014 do những đơn vị nào phối hợp triển khai và phương thức thực hiện khảo sát ra sao?,Đây là kết quả từ khảo sát 'Nơi làm việc tốt nhất Việt Nam' do mạng cộng đồng nghề nghiệp cấp quản lý Anphabe và Công ty Nghiên cứu thị trường Nielsen phối hợp thực hiện hàng năm. Khảo sát năm nay được triển khai trực tuyến từ tháng 10/2014 - 1/2015 với 15.578 đáp viên thuộc 24 ngành nghề trên toàn quốc hoàn thành.,"Khảo sát 'Nơi làm việc tốt nhất Việt Nam' do mạng cộng đồng nghề nghiệp cấp nhân sự kế thừa đối với các vị trí cao cấp, quản lý Anphabe và Công ty Nghiên cứu thị trường Nielsen phối hợp thực hiện hàng năm. Khảo sát năm 2014 được triển khai trực tuyến từ tháng 10/2014 đến tháng 1/2015 với 15.578 đáp viên thuộc 24 ngành nghề trên toàn quốc hoàn thành; điểm mới của khảo sát là các doanh nghiệp được đánh giá bởi cả ý kiến của nhân viên nội bộ và các nhân lực hoạt động bên ngoài hoạt động cùng ngành.",False,full,"similarity=0.55, fact_overlap=1.00 (cao)"
test_33,page_aware,"Năm 2014, các bên liên quan có thể phản ánh thông tin nhạy cảm hoặc cần bảo mật tới bộ phận tuân thủ của Vinamilk qua địa chỉ email nào?","Ngoài ra, đối với các trường hợp có tính chất nhạy cảm hoặc người lao động muốn bảo mật thông tin thì có thể liên hệ qua kênh thông tin của bộ phận tuân thủ bằng email (compliance@vinamilk.com.vn) hoặc điện thoại.","Năm 2014, các bên liên quan hoặc người lao động muốn phản ánh thông tin nhạy cảm, nghiêm trọng hoặc cần bảo mật thông tin có thể liên hệ với bộ phận tuân thủ qua địa chỉ email: compliance@vinamilk.com.vn",False,full,"similarity=0.27, fact_overlap=1.00 (cao)"
test_34,page_aware,Trách nhiệm của Vinamilk đối với người tiêu dùng được thể hiện cụ thể qua 3 vấn đề trọng tâm nào?,"Trách nhiệm của Vinamilk đối với người tiêu dùng thể hiện qua 3 vấn đề: sản phẩm an toàn cho sức khỏe; sản phẩm mang lại giá trị dinh dưỡng, giải quyết các vấn đề và nâng cao sức khỏe; thông tin đầy đủ, trung thực.",Không tìm thấy thông tin trong tài liệu.,True,abstain,hệ thống từ chối
test_35,page_aware,"Chương trình 'Cùng Vinamilk tích lũy điểm, vui xuân đón Tết' đã hỗ trợ tổng kinh phí bao nhiêu tiền cho các hộ nông dân?","Vinamilk đã hỗ trợ tổng cộng hơn 45,7 tỷ đồng cho 6.105 hộ trên tổng số 6.618 hộ dân đang bán sữa cho Vinamilk. Trung bình, mỗi hộ dân được nhận khoảng 7,5 triệu đồng.","Chương trình ""Cùng Vinamilk tích lũy điểm, vui xuân đón Tết"" đã hỗ trợ tổng cộng hơn 45,7 tỷ đồng cho nông hộ trên tổng số 6.618 hộ dân đang bán sữa cho Vinamilk.",False,full,"similarity=0.64, fact_overlap=0.50 (cao)"
test_36,page_aware,Hội nghị Ban Chấp hành Trung ương Đảng họp từ ngày 14 đến ngày 31/10/1930 tại Hương Cảng đã quyết định đổi tên Đảng là gì và bầu ai làm Tổng Bí thư?,"Từ ngày 14 đến ngày 31/10/1930, Hội nghị Ban Chấp hành Trung ương lần thứ nhất họp tại Hương Cảng (Trung Quốc), hội nghị đã đổi tên Đảng Cộng sản Việt nam thành Đảng Cộng sản Đông Dương. Hội nghị đã bầu đồng chí Trần Phú làm Tổng Bí thư và đã thông qua Luận cương chính trị tháng 10/1930, với những nội dung:",Hội nghị Ban Chấp hành Trung ương Đảng họp từ ngày 14 đến ngày 31/10/1930 tại Hương Cảng đã quyết định đổi tên Đảng Cộng sản Việt Nam thành Đảng Cộng sản Đông Dương và bầu đồng chí Trần Phú làm Tổng Bí thư.,False,partial,"similarity=0.54, fact_overlap=0.75, cần verify chi tiết"
test_37,page_aware,"Tháng 6 năm 1925, Nguyễn Ái Quốc đã thành lập tổ chức tiền thân nào của Đảng tại Quảng Châu và cơ quan ngôn luận của tổ chức này là tờ báo gì?","Về tổ chức, Nguyễn Ái Quốc thành lập Hội Việt Nam Cách mạng Thanh niên (6-1925) tại Quảng Châu (đây cũng là tổ chức tiền thân của Đảng Cộng sản Việt Nam sau này). Tổ chức gồm 5 cấp: trung ương bộ, kỳ bộ, tỉnh bộ, huyện bộ và chi bộ. Tổng bộ là cơ quan lãnh đạo cao nhất giữa hai kỳ đại hội. Hội ra tờ báo Thanh niên (số đầu tiên 21-6-1925) là cơ quan ngôn luận của Hội Việt Nam Cách mạng Thanh niên.","Tháng 6 năm 1925, Nguyễn Ái Quốc đã thành lập Hội Việt Nam Cách mạng Thanh niên tại Quảng Châu (đây là tổ chức tiền thân của Đảng Cộng sản Việt Nam sau này). Cơ quan ngôn luận của Hội là tờ báo Thanh niên (số đầu tiên ra ngày 21-6-1925).",False,full,"similarity=0.40, fact_overlap=1.00 (cao)"
test_38,page_aware,Bản dự thảo Đường lối cách mạng miền Nam tháng 8-1956 do ai soạn thảo và nêu rõ quan điểm gì về con đường cứu nước?,"Từ thực tiễn cuộc đấu tranh cách mạng của nhân dân miền Nam, tháng 8-1956, Lê Duẩn đã dự thảo Đường lối cách mạng miền Nam, nêu rõ chế độ thống trị của Mỹ - Diệm ở miền Nam là một chế độ độc tài, phát xít, hiếu chiến. Để chống đế quốc Mỹ và tay sai, nhân dân miền Nam chỉ có con đường cứu nước và tự cứu mình là con đường cách mạng. Ngoài con đường cách mạng không có một con đường khác.","Bản dự thảo Đường lối cách mạng miền Nam tháng 8-1956 do Lê Duẩn soạn thảo. Bản dự thảo đã nêu rõ quan điểm: chế độ thống trị của Mỹ - Diệm ở miền Nam là một chế độ độc tài, phát xít, hiếu chiến; để chống đế quốc Mỹ và tay sai, nhân dân miền Nam chỉ có con đường cứu nước và tự cứu mình là con đường cách mạng, ngoài con đường cách mạng không có một con đường nào khác.",False,full,"similarity=0.37, fact_overlap=0.50, cần verify chi tiết"
test_39,page_aware,Chiến dịch Hồ Chí Minh lịch sử giải phóng Sài Gòn - Gia Định bắt đầu từ ngày nào và kết thúc thắng lợi vào thời điểm nào?,"Sau khi tạo thế và lực, chuẩn bị khẩn trương kế hoạch tác chiến chiến dịch, ngày 26-4-1975, Chiến dịch Hồ Chí Minh giải phóng Sài Gòn-Gia Định bắt đầu. Sau 4 ngày đêm tiến công dũng mãnh, vào lúc 11 giờ 30 phút ngày 30-4-1975, lá cờ chiến thắng đã được cắm trên dinh Độc Lập.","Chiến dịch Hồ Chí Minh giải phóng Sài Gòn - Gia Định bắt đầu từ ngày 26-4-1975. Vào lúc 11 giờ 30 phút ngày 30-4-1975, lá cờ chiến thắng đã được cắm trên dinh Độc Lập, Sài Gòn được giải phóng.",False,full,"similarity=0.66, fact_overlap=1.00 (cao)"
test_40,page_aware,"Theo Hiến pháp, Ủy ban thường vụ Quốc hội có quyền hạn gì khi Quốc hội không thể họp để tuyên bố tình trạng chiến tranh, và Chính phủ có trách nhiệm gì đối với Hội đồng dân tộc khi ban hành chính sách?","Ủy ban thường vụ Quốc hội có nhiệm vụ, quyền hạn: 'Quyết định việc tuyên bố tình trạng chiến tranh trong trường hợp Quốc hội không thể họp được và báo cáo Quốc hội quyết định tại kỳ họp gần nhất;'. Khi ban hành quy định thực hiện chính sách dân tộc: 'Khi ban hành quy định thực hiện chính sách dân tộc, Chính phủ phải lấy ý kiến của Hội đồng dân tộc.'.","Theo tài liệu, khi Quốc hội không thể họp, Ủy ban thường vụ Quốc hội có quyền quyết định việc tuyên bố tình trạng chiến tranh (theo đoạn [2]). Bên cạnh đó, khi ban hành quy định thực hiện chính sách dân tộc, Chính phủ phải lấy ý kiến của Hội đồng dân tộc (theo đoạn [5], [7]).",False,full,"similarity=0.32, fact_overlap=1.00 (cao)"
